compressor_diameter_mm,compressor_blade_count,combustor_length_mm,combustor_outer_diameter_mm,combustor_inner_diameter_mm,combustor_liner_thickness_mm,combustor_num_injectors,turbine_blade_count,turbine_hub_tip_ratio,nozzle_exit_diameter_mm,rpm,lattice_cell_size_mm,lattice_density,compressor_pressure_ratio,compressor_efficiency,turbine_inlet_temp_K,turbine_efficiency,mass_flow_kg_s,inlet_pressure_recovery,combustor_pressure_drop_fraction,combustion_efficiency,nozzle_discharge_coefficient,nozzle_isentropic_efficiency,combustor_air_fuel_ratio,feasible,thrust_error_N,tsfc_kg_N_s,thermal_efficiency,fuel_flow_kg_s,compressor_power_W,thrust_to_weight,thrust_N_corrected,exhaust_temp_K_corrected,exhaust_velocity_m_s_corrected,total_mass_kg
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,2.0477986552295273,0.8489763302183323,1137.884439398471,0.854343755614938,0.2171828228309352,0.975617877135512,0.03888391477268932,0.962815025644005,0.9753419322280936,0.9569798599982839,,True,0.42424327898899605,4.916982600847355e-05,0.10381794895276462,0.004871847564069965,16836.933981109563,8.13293431137333,99.575756721011,979.9300223055026,448.7431504465034,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,4.694020095324644,0.8470429727931069,903.9425481812729,0.8766105261837976,0.22363914263944287,0.9758097797077488,0.04709137318027354,0.9672620628956188,0.9789266078216491,0.9298983310295532,,True,1.106716126447722,2.4016566554918785e-05,0.18571746532196134,0.002323012155576503,42472.80550156696,7.9858577210162665,101.10671612644772,652.2739430527063,446.0807160151202,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,4.5293417354120225,0.8350369666673035,932.9825124444305,0.8788932984804074,0.21370488853975048,0.981190399064065,0.0409256607523304,0.9603144793660428,0.9748763703998791,0.9421479954955002,,True,0.5024856735827399,2.5674853051945985e-05,0.1881948424503504,0.002544045938236066,39999.36009518501,7.984439472450303,100.50248567358274,674.4367528223057,464.31407354468627,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,4.6636839155055485,0.8375901712397541,879.1133483560116,0.8782712876628529,0.23148634352539008,0.9815279238528838,0.04483318985906818,0.95047142467217,0.9875207282543701,0.9434944766075193,,True,0.5831406461933426,2.3392197829829323e-05,0.17756256523210057,0.002259006003207828,44228.87909781979,7.90702016997412,100.58314064619334,633.026323430625,429.4243833498395,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,4.492554770088362,0.8352011060965936,905.434752155502,0.877808324710535,0.22551737086689574,0.9786417996086866,0.03692282086760736,0.9610128325676975,0.974836110861069,0.9411122312001746,,True,1.5086607717340996,2.454285755959211e-05,0.17952386492796607,0.002428421060382513,41921.77041799103,8.027467961979557,101.5086607717341,655.7625609748458,444.18573168900963,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,2.1700548386001257,0.848041602576228,1100.7772407604116,0.874519683508497,0.21813606670997163,0.9765676637005112,0.03939488657494736,0.9728017930175837,0.9746530222850758,0.9470490228607089,,True,1.159243714206525,4.5190202443299916e-05,0.1140001577859451,0.00459834398539522,18456.352367479354,8.258943891240765,101.15924371420653,935.0918103149688,454.107029784903,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,2.667502032048598,0.8490471453046745,1006.2960932295373,0.8458754228018268,0.21891044061758974,0.9776211647181062,0.04281075354629437,0.9563071381883809,0.9833970437795737,0.9557794670284935,,True,0.7595344311519483,3.8653333706090895e-05,0.13531430708032663,0.003915718851361746,24158.88871645167,8.177662250654738,100.75953443115195,819.9225302528447,452.0113794835057,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,3.415516477607321,0.8351123140817434,920.299092323681,0.8724652847224582,0.22953413281726584,0.9757177293172787,0.04659776847519268,0.954396668269631,0.976157613106523,0.9586332062923802,,True,0.9160722778746191,3.0547003190669555e-05,0.15630349572870791,0.003047878390843395,33463.24763009741,8.078611287177964,100.91607227787462,708.5571349549195,433.7628520650985,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,4.181089626230834,0.8395623299174488,879.6267401696585,0.8777103490194365,0.22715561085652786,0.9776083756684142,0.04421823874909072,0.9471857533564476,0.9847780166013814,0.9429590088286463,,True,2.0857544454669323,2.4923736558896454e-05,0.1637432122633143,0.0023750421528424904,39561.36057422524,7.758542747364923,97.91424555453307,649.40085416826,426.08024406149366,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,4.456514360114306,0.8408306490057772,976.8588324165281,0.866070172333334,0.20523699063555736,0.9798126443817371,0.04580196263631971,0.9597214963965275,0.979858405198909,0.9462230295991553,,True,2.3574989034072615,2.835757842533129e-05,0.19149207804336,0.002941287144003134,37646.80501501659,8.165077794292928,102.35749890340726,710.7024538864574,491.44127856651346,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,2.6106955739276785,0.844456231496476,1026.445883798543,0.8569134317793315,0.21122182322925065,0.9783237988059168,0.04209498611822537,0.9563726903153873,0.9678445447886004,0.950167291309151,,True,2.431383032497365,3.916399380157041e-05,0.13562166210539983,0.0037965176128000227,22849.22195755612,7.928606011950479,97.56861696750263,838.3979649801723,453.6255127702347,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,4.241275913577472,0.8388831644421055,988.7169485026441,0.8764470842971228,0.1992387948852139,0.9831207217438513,0.044561499905038486,0.9546944633186316,0.9740754434372239,0.9429058738514824,,True,1.14331954685926,2.9691241299745875e-05,0.19241655704835897,0.003024064754189818,35151.0317164616,8.075395454155927,101.14331954685926,724.6505105967333,498.6376080472585,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,4.795231005024826,0.8376369271410189,976.6124052201345,0.8700802766471127,0.2053591959197167,0.9798505041318897,0.04586494991060495,0.9605618986147537,0.9737374061602682,0.9477289304219427,,True,2.535903700748861,2.740060656035392e-05,0.19613187053025538,0.0028412163134162605,40114.27712102897,8.140128647939449,102.53590370074886,698.1473896189851,492.21438913325073,1.228910093710441
