compressor_pressure_ratio,compressor_efficiency,compressor_diameter_mm,compressor_blade_count,combustor_length_mm,combustor_outer_diameter_mm,combustor_inner_diameter_mm,combustor_liner_thickness_mm,combustor_num_injectors,combustor_air_fuel_ratio,turbine_inlet_temp_K,turbine_efficiency,turbine_blade_count,turbine_hub_tip_ratio,nozzle_exit_diameter_mm,mass_flow_kg_s,rpm,lattice_cell_size_mm,lattice_density,thrust_N,specific_thrust,fuel_flow_kg_s,tsfc_kg_N_s,exhaust_velocity_m_s,exhaust_temp_K,compressor_power_W,thermal_efficiency,total_mass_kg,thrust_to_weight,lattice_surface_area_ratio,is_valid,n_warnings
2.255119167,0.7613491799,81.75665935,11,118.4711115,116.6526267,82.6494125,1.474610085,7,67.46973419,1098.617184,0.7787931991,15,0.7776941979,66.27496765,0.2271713718,73382.30998,6.008937783,0.4153124014,95.06767773,418.4844111,0.004695305357,4.94E-05,410.0100925,937.755375,22600.31246,0.09653062974,0.7191124229,13.47618879,3.122968602,TRUE,1
3.874322244,0.7995589192,94.22446869,10,107.2473918,85.61444389,63.34984446,1.687262368,11,40.45996325,821.7688901,0.8492394276,23,0.7451463646,33.45258437,0.2787891091,141888.5369,8.345015392,0.4050408534,95.06820451,341.0040113,0.002919138594,3.07E-05,337.4704337,622.9407297,47710.4782,0.127796175,0.5291007139,18.31588622,3.10756128,TRUE,0
3.150454995,0.7654242605,89.02018588,17,63.0318216,123.1488854,53.21427485,1.825326064,8,46.11626159,936.2419233,0.8344977391,22,0.7359631403,55.36130316,0.2399214501,71065.84443,12.51651552,0.4988573764,95.06972209,396.2535324,0.003482558925,3.66E-05,390.5840437,741.353028,35220.34764,0.1239823309,0.5605737772,17.28782823,3.248286065,TRUE,0
2.128606157,0.8131547935,131.5084897,18,88.63759878,136.9630354,71.86003907,1.659263206,9,44.14928047,1137.367772,0.8397999311,16,0.7638657576,37.45054929,0.2090233411,117748.6445,13.08463999,0.2899395725,95.07197234,454.8390234,0.00464344566,4.88E-05,444.9543786,974.7534453,17933.5979,0.1059324873,0.6507605886,14.89231635,2.934909359,TRUE,1
2.316184371,0.7375714718,97.55657382,10,143.5599759,151.6789652,79.91100738,0.9401326072,10,55.69610779,974.9000059,0.765838867,12,0.7794855564,39.10371162,0.2774639717,68520.79961,4.835863143,0.3230191896,95.07213923,342.64679,0.0046646419,4.91E-05,336.9815561,832.424043,29546.74964,0.07986245149,0.8538604373,11.35003935,2.984528784,TRUE,0
3.927614831,0.7369122178,135.7544771,9,115.4619185,90.47620295,62.9861888,1.043813262,8,75.78621931,1189.844153,0.8167214091,14,0.7526320489,31.46188492,0.1728564985,64162.33001,8.551359438,0.2522121617,95.0746515,550.0206953,0.00359833264,3.78E-05,538.8044685,898.3189779,32487.74624,0.1655374159,0.5904140938,16.41492938,2.878318243,TRUE,0
2.268010028,0.7724326884,107.5732675,12,56.47492448,148.3197933,46.52574361,1.591352142,8,79.78385448,1172.028782,0.8190783354,15,0.6514315042,39.41458232,0.2028641784,99321.25152,9.638849537,0.2502065736,95.07616764,468.669079,0.004639288026,4.88E-05,458.190744,992.9704354,20048.88865,0.1091863107,0.498876364,19.42717857,2.87530986,TRUE,1
3.608160554,0.7301366172,126.9822074,13,63.90945015,101.2192166,58.52114599,1.914216542,10,67.27614026,863.855722,0.8513375288,17,0.7387631303,32.11791327,0.2887860083,147455.6349,11.96302059,0.3690159509,95.07634503,329.2276714,0.003340736757,3.51E-05,325.4626516,664.9095969,50725.25683,0.107704272,0.5052388175,19.18256863,3.053523926,TRUE,0
2.224990063,0.8118216727,90.92151669,9,89.29231043,141.6275161,64.27291671,1.031070309,8,65.30847402,984.0414798,0.8145493906,17,0.7950922577,35.88752202,0.2436171387,98861.22746,13.8101236,0.376554912,95.07668126,390.2709052,0.004265859861,4.49E-05,383.5546682,839.1818445,22309.10362,0.09940225831,0.6152653947,15.75224716,3.064832368,TRUE,0
2.602174083,0.7403016197,136.5676115,18,103.1972046,142.028416,47.18457485,1.445643602,8,51.90001102,1071.070707,0.7786952493,12,0.799871325,49.66706964,0.2260111869,91021.92634,5.175016117,0.3088864356,95.07724911,420.6749693,0.004333927939,4.56E-05,412.7599979,889.0698891,27780.33444,0.1052916841,0.7601237071,12.75038571,2.963329653,TRUE,0
